Symbol
Nvidia
Microsoft
Apple Inc.
Amazon
Meta Platforms
Broadcom
Alphabet Inc. (Class C)
Alphabet Inc. (Class A)
Berkshire Hathaway
"Tesla, Inc."
JPMorgan Chase
Walmart
Lilly (Eli)
Visa Inc.
Oracle Corporation
Netflix
Mastercard
ExxonMobil
Costco
Johnson & Johnson
Procter & Gamble
Home Depot (The)
Bank of America
AbbVie
Palantir Technologies
Coca-Cola Company (The)
Philip Morris International
UnitedHealth Group
Cisco
IBM
T-Mobile US
Wells Fargo
GE Aerospace
Salesforce
Chevron Corporation
Abbott Laboratories
Morgan Stanley
American Express
Advanced Micro Devices
Linde plc
Walt Disney Company (The)
Intuit
Goldman Sachs
ServiceNow
McDonald's
Merck & Co.
AT&T
Uber
Texas Instruments
RTX Corporation
Accenture
Intuitive Surgical
Booking Holdings
Caterpillar Inc.
PepsiCo
Verizon
Qualcomm
Charles Schwab Corporation
BlackRock
Boeing
Adobe Inc.
S&P Global
Thermo Fisher Scientific
Citigroup
Amgen
Applied Materials
Honeywell
Boston Scientific
Stryker Corporation
NextEra Energy
Progressive Corporation
Pfizer
Danaher Corporation
GE Vernova
Union Pacific Corporation
Gilead Sciences
Capital One
Eaton Corporation
Micron Technology
TJX Companies
Deere & Company
Palo Alto Networks
Comcast
Arista Networks
Lam Research
Lowe's
CrowdStrike
Automatic Data Processing
KKR
Analog Devices
KLA Corporation
ConocoPhillips
Vertex Pharmaceuticals
Blackstone Inc.
Amphenol
Medtronic
Chubb Limited
"Nike, Inc."
Lockheed Martin
Starbucks
Marsh McLennan
Intercontinental Exchange
American Tower
DoorDash
Intel
Altria
Southern Company
CME Group
Prologis
Welltower
Constellation Energy
Bristol Myers Squibb
Trane Technologies
Fiserv
HCA Healthcare
Waste Management
McKesson Corporation
Parker Hannifin
Moody's Corporation
Royal Caribbean Group
Duke Energy
Coinbase Global
Mondelez International
Cadence Design Systems
Cintas
United Parcel Service
Sherwin-Williams
TransDigm Group
Airbnb
CVS Health
Synopsys
Dell Technologies
Cigna
3M
Apollo Global Management
Fortinet
Arthur J. Gallagher & Co.
General Dynamics
Elevance Health
O'Reilly Auto Parts
PNC Financial Services
Emerson Electric
Marriott International
Aon
Ecolab
Illinois Tool Works
Colgate-Palmolive
Equinix
Republic Services
Chipotle Mexican Grill
U.S. Bancorp
PayPal
Northrop Grumman
Howmet Aerospace
Zoetis
Williams Companies
Motorola Solutions
Johnson Controls
Autodesk
EOG Resources
BNY Mellon
Hilton Worldwide
Freeport-McMoRan
Air Products
Carrier Global
"Workday, Inc."
Newmont
Vistra Corp.
CSX Corporation
AutoZone
Kinder Morgan
Axon Enterprise
Roper Technologies
Monster Beverage
Regeneron Pharmaceuticals
Truist Financial
Norfolk Southern Railway
Travelers Companies (The)
NXP Semiconductors
Cencora
Digital Realty
FedEx
Charter Communications
Aflac
Quanta Services
American Electric Power
Marathon Petroleum
MetLife
Simon Property Group
Phillips 66
Paychex
Corteva
United Rentals
Realty Income
Paccar
Allstate
Ameriprise Financial
Public Storage
TE Connectivity
"Nasdaq, Inc."
ONEOK
General Motors
Becton Dickinson
W. W. Grainger
Schlumberger
Fastenal
Sempra
American International Group
L3Harris
Dominion Energy
Copart
Kroger
Ford Motor Company
Target Corporation
Valero Energy
Keurig Dr Pepper
Hess Corporation
Cummins
MSCI
Corning Inc.
Edwards Lifesciences
Occidental Petroleum
Crown Castle
Take-Two Interactive
Idexx Laboratories
Kimberly-Clark
Exelon
Ross Stores
Verisk Analytics
CBRE Group
Fidelity National Information Services
Diamondback Energy
Ametek
Yum! Brands
Garmin
Public Service Enterprise Group
D. R. Horton
Microchip Technology
Cognizant
Baker Hughes
Fair Isaac
Kenvue
Carnival
Cardinal Health
Otis Worldwide
Xcel Energy
Electronic Arts
Rockwell Automation
Prudential Financial
ResMed
Targa Resources
Sysco
Monolithic Power Systems
Wabtec
Entergy
Consolidated Edison
Brown & Brown
Old Dominion
Ingersoll Rand
Vulcan Materials Company
CoStar Group
Hartford (The)
eBay
GE HealthCare
Las Vegas Sands
Vici Properties
Agilent Technologies
Hershey Company (The)
Arch Capital Group
Martin Marietta Materials
Equifax
Live Nation Entertainment
Delta Air Lines
EQT Corporation
WEC Energy Group
Dexcom
Nucor
M&T Bank
Xylem Inc.
Ansys
Raymond James Financial
Extra Space Storage
DuPont
State Street Corporation
Kraft Heinz
Gartner
Seagate Technology
Estée Lauder Companies (The)
Willis Towers Watson
Constellation Brands
PG&E Corporation
Tractor Supply
NRG Energy
Iron Mountain
Supermicro
Fifth Third Bancorp
AvalonBay Communities
IQVIA
Humana
Lululemon Athletica
Lennar
Keysight Technologies
General Mills
Ventas
Broadridge Financial Solutions
Warner Bros. Discovery
Kellanova
Hewlett Packard Enterprise
American Water Works
"Rollins, Inc."
DTE Energy
W. R. Berkley Corporation
United Airlines Holdings
PPG Industries
Verisign
Synchrony Financial
International Paper
Archer Daniels Midland
Dover Corporation
Ameren
Darden Restaurants
Huntington Bancshares
GoDaddy
Expand Energy
Veralto
Equity Residential
Tyler Technologies
Mettler Toledo
SBA Communications
Dollar General
Northern Trust
PPL Corporation
Smurfit WestRock
Cboe Global Markets
HP Inc.
Teledyne Technologies
Church & Dwight
Atmos Energy
Texas Pacific Land Corporation
ON Semiconductor
CDW
Jabil
Eversource Energy
Corpay
CenterPoint Energy
FirstEnergy
Cincinnati Financial
Steris
Expedia Group
Western Digital
Amcor
Regions Financial Corporation
Devon Energy
T. Rowe Price
"NVR, Inc."
Hubbell Incorporated
PulteGroup
Dollar Tree
LabCorp
Ulta Beauty
NetApp
PTC Inc.
Lennox International
Leidos
Insulet Corporation
Williams-Sonoma
Waters Corporation
CMS Energy
Citizens Financial Group
Dow Inc.
LyondellBasell
KeyCorp
Steel Dynamics
Tyson Foods
Invitation Homes
Global Payments
Biogen
McCormick & Company
Coterra
Southwest Airlines
International Flavors & Fragrances
Quest Diagnostics
Loews Corporation
Edison International
"Tapestry, Inc."
Halliburton
Trimble Inc.
Weyerhaeuser
Gen Digital
Zimmer Biomet
Essex Property Trust
Principal Financial Group
NiSource
Packaging Corporation of America
First Solar
Fortive
Erie Indemnity
Mid-America Apartment Communities
Genuine Parts Company
Pentair
Ralph Lauren Corporation
"F5, Inc."
Hormel Foods
FactSet
Snap-on
Centene Corporation
Zebra Technologies
Ball Corporation
Expeditors International
Jacobs Solutions
West Pharmaceutical Services
Evergy
Deckers Brands
CF Industries
Aptiv
Alliant Energy
Baxter International
Domino's
Clorox
Best Buy
Bunge Global
J.B. Hunt
Teradyne
Textron
Cooper Companies (The)
Omnicom Group
Everest Group
Hologic
Kimco Realty
Avery Dennison
Align Technology
Builders FirstSource
TKO Group Holdings
Masco
IDEX Corporation
"UDR, Inc."
Brown–Forman
Juniper Networks
Alexandria Real Estate Equities
Jack Henry & Associates
Incyte
Paycom
Solventum
Franklin Resources
Allegion
Moderna
Regency Centers
Molina Healthcare
Healthpeak Properties
Nordson Corporation
Fox Corporation (Class A)
Camden Property Trust
Revvity
Mosaic Company (The)
Universal Health Services
Skyworks Solutions
C.H. Robinson
Wynn Resorts
Akamai Technologies
Fox Corporation (Class B)
Pool Corporation
Host Hotels & Resorts
Stanley Black & Decker
J.M. Smucker Company (The)
DaVita
Viatris
"BXP, Inc."
Hasbro
Pinnacle West
EPAM Systems
CarMax
MGM Resorts
Molson Coors Beverage Company
Walgreens Boots Alliance
LKQ Corporation
Globe Life
Conagra Brands
Huntington Ingalls Industries
A. O. Smith
Assurant
Norwegian Cruise Line Holdings
News Corp (Class B)
Interpublic Group of Companies (The)
Eastman Chemical Company
Henry Schein
Dayforce
Campbell Soup Company
Generac
Paramount Global
News Corp (Class A)
Albemarle Corporation
Bio-Techne
MarketAxess
Federal Realty Investment Trust
Match Group
AES Corporation
Charles River Laboratories
Invesco
APA Corporation
Lamb Weston
Mohawk Industries
Caesars Entertainment
Enphase Energy
